restaurant_id,item_id,name,category,price,ingredients,is_vegetarian,spice_level
REST-AUH-002,ITEM-406,Vegetable Biryani,Rice,41.79,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-AUH-002,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.49,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-AUH-002,ITEM-502,Rasmalai (2 pcs),Dessert,17.98,"Cottage Cheese, Milk, Saffron",True,None
REST-AUH-002,ITEM-503,Kulfi,Dessert,20.45,"Milk, Cardamom, Pistachios",True,None
REST-AUH-002,ITEM-504,Gajar Halwa,Dessert,23.02,"Carrot, Milk, Ghee, Sugar",True,None
REST-AUH-002,ITEM-601,Masala Chai,Beverage,12.2,"Tea, Milk, Spices",True,None
REST-AUH-002,ITEM-602,Mango Lassi,Beverage,18.46,"Mango, Yogurt, Sugar",True,None
REST-AUH-002,ITEM-603,Sweet Lassi,Beverage,14.77,"Yogurt, Sugar, Cardamom",True,None
REST-AUH-002,ITEM-604,Fresh Lime Soda,Beverage,12.57,"Lime, Soda, Salt/Sugar",True,None
REST-DXB-001,ITEM-101,Samosa (2 pcs),Starter,18.19,"Potato, Peas, Spices, Pastry",True,Medium
REST-DXB-001,ITEM-102,Paneer Tikka,Starter,36.16,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-DXB-001,ITEM-103,Chicken 65,Starter,36.74,"Chicken, Curry Leaves, Spices",False,Hot
REST-DXB-001,ITEM-104,Aloo Tikki Chaat,Starter,20.97,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-DXB-001,ITEM-105,Chicken Seekh Kebab,Starter,41.32,"Minced Chicken, Spices, Onion",False,Medium
REST-DXB-001,ITEM-201,Paneer Butter Masala,Main Course,43.19,"Paneer, Tomato, Cream, Butter",True,Mild
REST-DXB-001,ITEM-202,Dal Makhani,Main Course,39.78,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-DXB-001,ITEM-203,Palak Paneer,Main Course,43.97,"Spinach, Paneer, Spices",True,Medium
REST-DXB-001,ITEM-204,Malai Kofta,Main Course,42.51,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-DXB-001,ITEM-205,Chole Bhature,Main Course,40.6,"Chickpeas, Fried Bread, Spices",True,Medium
REST-DXB-001,ITEM-301,Butter Chicken,Main Course,51.52,"Chicken, Tomato, Butter, Cream",False,Mild
REST-DXB-001,ITEM-302,Chicken Tikka Masala,Main Course,51.74,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-DXB-001,ITEM-303,Lamb Rogan Josh,Main Course,62.08,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-DXB-001,ITEM-304,Fish Curry,Main Course,53.09,"Fish, Coconut, Curry Leaves",False,Hot
REST-DXB-001,ITEM-305,Chicken Biryani,Main Course,46.55,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-DXB-001,ITEM-401,Naan,Bread,8.18,"Flour, Yogurt, Yeast",True,None
REST-DXB-001,ITEM-402,Garlic Naan,Bread,9.67,"Flour, Garlic, Butter",True,None
REST-DXB-001,ITEM-403,Butter Naan,Bread,9.44,"Flour, Butter, Milk",True,None
REST-DXB-001,ITEM-404,Tandoori Roti,Bread,6.28,Whole Wheat Flour,True,None
REST-DXB-001,ITEM-405,Jeera Rice,Rice,18.8,"Basmati Rice, Cumin Seeds",True,None
REST-DXB-001,ITEM-406,Vegetable Biryani,Rice,43.72,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-DXB-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,15.31,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-DXB-001,ITEM-502,Rasmalai (2 pcs),Dessert,18.48,"Cottage Cheese, Milk, Saffron",True,None
REST-DXB-001,ITEM-503,Kulfi,Dessert,20.21,"Milk, Cardamom, Pistachios",True,None
REST-DXB-001,ITEM-504,Gajar Halwa,Dessert,21.55,"Carrot, Milk, Ghee, Sugar",True,None
REST-DXB-001,ITEM-601,Masala Chai,Beverage,11.81,"Tea, Milk, Spices",True,None
REST-DXB-001,ITEM-602,Mango Lassi,Beverage,17.47,"Mango, Yogurt, Sugar",True,None
REST-DXB-001,ITEM-603,Sweet Lassi,Beverage,15.6,"Yogurt, Sugar, Cardamom",True,None
REST-DXB-001,ITEM-604,Fresh Lime Soda,Beverage,12.17,"Lime, Soda, Salt/Sugar",True,None
REST-DXB-002,ITEM-101,Samosa (2 pcs),Starter,18.13,"Potato, Peas, Spices, Pastry",True,Medium
REST-DXB-002,ITEM-102,Paneer Tikka,Starter,34.45,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-DXB-002,ITEM-103,Chicken 65,Starter,38.11,"Chicken, Curry Leaves, Spices",False,Hot
REST-DXB-002,ITEM-104,Aloo Tikki Chaat,Starter,21.52,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-DXB-002,ITEM-105,Chicken Seekh Kebab,Starter,41.61,"Minced Chicken, Spices, Onion",False,Medium
REST-DXB-002,ITEM-201,Paneer Butter Masala,Main Course,47.14,"Paneer, Tomato, Cream, Butter",True,Mild
REST-DXB-002,ITEM-202,Dal Makhani,Main Course,37.63,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-DXB-002,ITEM-203,Palak Paneer,Main Course,40.11,"Spinach, Paneer, Spices",True,Medium
REST-DXB-002,ITEM-204,Malai Kofta,Main Course,45.92,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-DXB-002,ITEM-205,Chole Bhature,Main Course,41.74,"Chickpeas, Fried Bread, Spices",True,Medium
REST-DXB-002,ITEM-301,Butter Chicken,Main Course,50.53,"Chicken, Tomato, Butter, Cream",False,Mild
REST-DXB-002,ITEM-302,Chicken Tikka Masala,Main Course,48.4,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-DXB-002,ITEM-303,Lamb Rogan Josh,Main Course,68.08,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-DXB-002,ITEM-304,Fish Curry,Main Course,52.96,"Fish, Coconut, Curry Leaves",False,Hot
REST-DXB-002,ITEM-305,Chicken Biryani,Main Course,48.52,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-DXB-002,ITEM-401,Naan,Bread,8.34,"Flour, Yogurt, Yeast",True,None
REST-DXB-002,ITEM-402,Garlic Naan,Bread,10.02,"Flour, Garlic, Butter",True,None
REST-DXB-002,ITEM-403,Butter Naan,Bread,9.15,"Flour, Butter, Milk",True,None
REST-DXB-002,ITEM-404,Tandoori Roti,Bread,5.82,Whole Wheat Flour,True,None
REST-DXB-002,ITEM-405,Jeera Rice,Rice,17.13,"Basmati Rice, Cumin Seeds",True,None
REST-DXB-002,ITEM-406,Vegetable Biryani,Rice,43.29,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-DXB-002,ITEM-501,Gulab Jamun (2 pcs),Dessert,15.08,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-DXB-002,ITEM-502,Rasmalai (2 pcs),Dessert,18.19,"Cottage Cheese, Milk, Saffron",True,None
REST-DXB-002,ITEM-503,Kulfi,Dessert,20.86,"Milk, Cardamom, Pistachios",True,None
REST-DXB-002,ITEM-504,Gajar Halwa,Dessert,22.67,"Carrot, Milk, Ghee, Sugar",True,None
REST-DXB-002,ITEM-601,Masala Chai,Beverage,11.64,"Tea, Milk, Spices",True,None
REST-DXB-002,ITEM-602,Mango Lassi,Beverage,17.96,"Mango, Yogurt, Sugar",True,None
REST-DXB-002,ITEM-603,Sweet Lassi,Beverage,15.39,"Yogurt, Sugar, Cardamom",True,None
REST-DXB-002,ITEM-604,Fresh Lime Soda,Beverage,12.01,"Lime, Soda, Salt/Sugar",True,None
REST-SHJ-001,ITEM-101,Samosa (2 pcs),Starter,17.13,"Potato, Peas, Spices, Pastry",True,Medium
REST-SHJ-001,ITEM-102,Paneer Tikka,Starter,33.35,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-SHJ-001,ITEM-103,Chicken 65,Starter,36.45,"Chicken, Curry Leaves, Spices",False,Hot
REST-SHJ-001,ITEM-104,Aloo Tikki Chaat,Starter,21.74,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-SHJ-001,ITEM-105,Chicken Seekh Kebab,Starter,40.42,"Minced Chicken, Spices, Onion",False,Medium
REST-SHJ-001,ITEM-201,Paneer Butter Masala,Main Course,44.21,"Paneer, Tomato, Cream, Butter",True,Mild
REST-SHJ-001,ITEM-202,Dal Makhani,Main Course,38.65,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-SHJ-001,ITEM-203,Palak Paneer,Main Course,43.52,"Spinach, Paneer, Spices",True,Medium
REST-SHJ-001,ITEM-204,Malai Kofta,Main Course,44.15,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-SHJ-001,ITEM-205,Chole Bhature,Main Course,41.61,"Chickpeas, Fried Bread, Spices",True,Medium
REST-SHJ-001,ITEM-301,Butter Chicken,Main Course,50.98,"Chicken, Tomato, Butter, Cream",False,Mild
REST-SHJ-001,ITEM-302,Chicken Tikka Masala,Main Course,51.79,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-SHJ-001,ITEM-303,Lamb Rogan Josh,Main Course,65.61,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-SHJ-001,ITEM-304,Fish Curry,Main Course,56.74,"Fish, Coconut, Curry Leaves",False,Hot
REST-SHJ-001,ITEM-305,Chicken Biryani,Main Course,47.77,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-SHJ-001,ITEM-401,Naan,Bread,7.63,"Flour, Yogurt, Yeast",True,None
REST-SHJ-001,ITEM-402,Garlic Naan,Bread,10.43,"Flour, Garlic, Butter",True,None
REST-SHJ-001,ITEM-403,Butter Naan,Bread,9.26,"Flour, Butter, Milk",True,None
REST-SHJ-001,ITEM-404,Tandoori Roti,Bread,6.03,Whole Wheat Flour,True,None
REST-SHJ-001,ITEM-405,Jeera Rice,Rice,18.79,"Basmati Rice, Cumin Seeds",True,None
REST-SHJ-001,ITEM-406,Vegetable Biryani,Rice,43.97,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-SHJ-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.72,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-SHJ-001,ITEM-502,Rasmalai (2 pcs),Dessert,18.47,"Cottage Cheese, Milk, Saffron",True,None
REST-SHJ-001,ITEM-503,Kulfi,Dessert,20.31,"Milk, Cardamom, Pistachios",True,None
REST-SHJ-001,ITEM-504,Gajar Halwa,Dessert,21.71,"Carrot, Milk, Ghee, Sugar",True,None
REST-SHJ-001,ITEM-601,Masala Chai,Beverage,12.17,"Tea, Milk, Spices",True,None
REST-SHJ-001,ITEM-602,Mango Lassi,Beverage,18.73,"Mango, Yogurt, Sugar",True,None
REST-SHJ-001,ITEM-603,Sweet Lassi,Beverage,14.98,"Yogurt, Sugar, Cardamom",True,None
REST-SHJ-001,ITEM-604,Fresh Lime Soda,Beverage,11.76,"Lime, Soda, Salt/Sugar",True,None
