review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000017,ORD-20260203-439046,CUST-10081,REST-AUH-002,Hands down the best Malai Kofta I've ever had! Tandoori Roti  Paneer Tikka  and Malai Kofta were all prepared beautifully. Fresh and flavorful!,5,2026-02-04T15:58:34.614678
REV-000018,ORD-20260206-626075,CUST-10077,REST-AUH-001,Great food overall. Paneer Butter Masala  Naan  Vegetable Biryani  Gulab Jamun (2 pcs)  and Butter Chicken were tasty  especially the Naan. Would order again!,4,2026-02-08T11:49:58.614678
REV-000021,ORD-20260210-662698,CUST-10122,REST-DXB-001,Good quality food. Aloo Tikki Chaat  Lamb Rogan Josh  and Paneer Butter Masala were nicely done. Lamb Rogan Josh could have been slightly spicier but still good!,4,2026-02-12T10:47:31.614678
REV-000019,ORD-20260206-447159,CUST-10054,REST-AUH-001,Absolutely horrible! Paneer Tikka arrived ice cold after 2 hour delay. Paneer Tikka was spoiled. Disgusting!,1,2026-02-12T13:05:07.614678
REV-000020,ORD-20260209-842113,CUST-10429,REST-DXB-002,Mediocre. Fresh Lime Soda  Palak Paneer  Paneer Tikka  Chicken Seekh Kebab  and Naan were fine but forgettable. Fresh Lime Soda didn't stand out.,3,2026-02-12T21:09:27.614678
REV-000022,ORD-20260210-647129,CUST-10036,REST-AUH-002,Perfect in every way! Sweet Lassi were all excellent. Sweet Lassi stood out with its rich  authentic taste.,5,2026-02-16T13:06:00.614678
REV-000023,ORD-20260212-928906,CUST-10451,REST-AUH-001,Mediocre. Chicken Biryani were fine but forgettable. Chicken Biryani didn't stand out.,3,2026-02-17T22:34:14.614678
REV-000026,ORD-20260215-447025,CUST-10056,REST-AUH-002,Very satisfied! Butter Naan  Naan  Lamb Rogan Josh  and Chicken 65 were fresh and flavorful. Naan was the standout dish.,4,2026-02-18T15:49:24.614678
REV-000024,ORD-20260213-453895,CUST-10094,REST-DXB-002,Pleasant meal! Paneer Tikka  Masala Chai  and Vegetable Biryani arrived warm. Masala Chai was tasty though not exceptional. Would order again.,4,2026-02-18T17:46:19.614678
REV-000025,ORD-20260214-892679,CUST-10479,REST-DXB-002,Great food overall. Fish Curry  Jeera Rice  Kulfi  and Chole Bhature were tasty  especially the Kulfi. Would order again!,4,2026-02-21T22:45:59.614678
REV-000027,ORD-20260217-170609,CUST-10329,REST-DXB-001,Pleasant meal! Fish Curry arrived warm. Fish Curry was tasty though not exceptional. Would order again.,4,2026-02-23T15:22:01.614678
REV-000028,ORD-20260221-966524,CUST-10173,REST-AUH-001,Enjoyed the Palak Paneer and Dal Makhani! Palak Paneer was very good. Portion sizes were generous. Recommend!,4,2026-02-23T17:33:41.614678
REV-000030,ORD-20260223-613899,CUST-10249,REST-SHJ-001,Decent food but nothing special. Tandoori Roti  Chole Bhature  Garlic Naan  and Mango Lassi were okay. Chole Bhature lacked the punch I expected.,3,2026-02-24T19:32:08.614678
REV-000031,ORD-20260226-604425,CUST-10067,REST-DXB-002,Not good. Paneer Tikka  Sweet Lassi  Chole Bhature  Jeera Rice  and Gulab Jamun (2 pcs) arrived late and cold. Chole Bhature had barely any flavor. Poor quality.,2,2026-02-27T13:19:49.614678
REV-000029,ORD-20260221-557250,CUST-10260,REST-DXB-002,Great food overall. Chicken Tikka Masala were tasty  especially the Chicken Tikka Masala. Would order again!,4,2026-02-27T17:40:50.614678
REV-000033,ORD-20260304-635183,CUST-10436,REST-DXB-001,Solid experience. Vegetable Biryani  Dal Makhani  Chicken Seekh Kebab  and Mango Lassi were well-prepared. Dal Makhani had great flavor. Minor issues with packaging.,4,2026-03-06T21:43:21.614678
REV-000032,ORD-20260303-712325,CUST-10030,REST-AUH-002,Worst food ever! Butter Naan and Chicken Biryani were all wrong. Butter Naan made me sick. Never ordering again!,1,2026-03-08T11:25:01.614678
REV-000034,ORD-20260307-475515,CUST-10214,REST-AUH-002,Expected better. Chicken Seekh Kebab  Chicken Biryani  and Samosa (2 pcs) were subpar. Chicken Biryani was too oily and greasy. Stomach upset followed.,2,2026-03-09T22:53:21.614678
REV-000035,ORD-20260308-314970,CUST-10317,REST-SHJ-001,Hands down the best Chicken Biryani I've ever had! Chicken 65  Chicken Biryani  Chole Bhature  and Garlic Naan were all prepared beautifully. Fresh and flavorful!,5,2026-03-15T11:27:32.614678
REV-000036,ORD-20260317-487760,CUST-10260,REST-DXB-001,Exceptional quality! Ordered Chicken Biryani and everything was delicious. The Chicken Biryani melted in my mouth. Perfect!,5,2026-03-19T14:27:04.614678
REV-000037,ORD-20260324-183863,CUST-10480,REST-DXB-001,Incredible meal! Masala Chai arrived hot and fresh. The Masala Chai was absolutely divine. Highly satisfied!,5,2026-03-28T14:26:41.614678
REV-000038,ORD-20260328-945095,CUST-10304,REST-SHJ-001,Not bad  not great. Aloo Tikki Chaat  Garlic Naan  Rasmalai (2 pcs)  Masala Chai  and Samosa (2 pcs) were edible. Garlic Naan needed more seasoning.,3,2026-03-31T16:51:06.614678
REV-000039,ORD-20260330-479916,CUST-10221,REST-DXB-002,Incredible meal! Rasmalai (2 pcs)  Aloo Tikki Chaat  Palak Paneer  Tandoori Roti  and Sweet Lassi arrived hot and fresh. The Palak Paneer was absolutely divine. Highly satisfied!,5,2026-04-04T17:21:24.614678
REV-000040,ORD-20260402-558742,CUST-10485,REST-SHJ-001,Solid experience. Malai Kofta  Rasmalai (2 pcs)  Samosa (2 pcs)  and Chole Bhature were well-prepared. Rasmalai (2 pcs) had great flavor. Minor issues with packaging.,4,2026-04-04T21:14:40.614678
REV-000041,ORD-20260406-339513,CUST-10413,REST-DXB-001,Perfect in every way! Vegetable Biryani  Palak Paneer  and Lamb Rogan Josh were all excellent. Lamb Rogan Josh stood out with its rich  authentic taste.,5,2026-04-10T14:01:30.614678
REV-000042,ORD-20260407-163251,CUST-10373,REST-DXB-001,Exceptional quality! Ordered Paneer Butter Masala  Palak Paneer  and Garlic Naan and everything was delicious. The Paneer Butter Masala melted in my mouth. Perfect!,5,2026-04-10T14:46:57.614678
REV-000045,ORD-20260408-683942,CUST-10068,REST-DXB-001,Very satisfied! Vegetable Biryani  Naan  and Chicken Tikka Masala were fresh and flavorful. Vegetable Biryani was the standout dish.,4,2026-04-12T19:03:53.614678
REV-000043,ORD-20260407-647367,CUST-10431,REST-DXB-001,Great food overall. Gulab Jamun (2 pcs) were tasty  especially the Gulab Jamun (2 pcs). Would order again!,4,2026-04-12T21:12:02.614678
REV-000044,ORD-20260408-109698,CUST-10075,REST-DXB-002,Very satisfied! Naan and Sweet Lassi were fresh and flavorful. Naan was the standout dish.,4,2026-04-13T12:10:24.614678
REV-000046,ORD-20260421-639634,CUST-10478,REST-AUH-002,Great food overall. Tandoori Roti  Naan  Chicken Biryani  Lamb Rogan Josh  and Jeera Rice were tasty  especially the Jeera Rice. Would order again!,4,2026-04-26T21:01:58.614678
REV-000047,ORD-20260426-282835,CUST-10340,REST-DXB-002,Great food overall. Kulfi and Paneer Butter Masala were tasty  especially the Kulfi. Would order again!,4,2026-04-30T17:40:56.614678
REV-000050,ORD-20260501-535549,CUST-10226,REST-DXB-001,Outstanding experience! The Jeera Rice exceeded all expectations. Jeera Rice was the star of the meal. Will definitely order again!,5,2026-05-04T13:47:39.614678
REV-000048,ORD-20260430-935705,CUST-10105,REST-AUH-001,Mediocre. Aloo Tikki Chaat were fine but forgettable. Aloo Tikki Chaat didn't stand out.,3,2026-05-05T19:14:47.614678
REV-000049,ORD-20260501-789178,CUST-10069,REST-AUH-001,Incredible meal! Paneer Tikka and Jeera Rice arrived hot and fresh. The Jeera Rice was absolutely divine. Highly satisfied!,5,2026-05-06T10:51:40.614678
REV-000052,ORD-20260506-397901,CUST-10144,REST-SHJ-001,Good quality food. Aloo Tikki Chaat and Masala Chai were nicely done. Aloo Tikki Chaat could have been slightly spicier but still good!,4,2026-05-08T17:45:40.614678
REV-000051,ORD-20260503-462101,CUST-10213,REST-AUH-002,Mixed feelings. Paneer Butter Masala were acceptable. Paneer Butter Masala was decent but portion was small for the price.,3,2026-05-10T16:46:29.614678
REV-000053,ORD-20260508-975431,CUST-10390,REST-AUH-001,Perfect in every way! Jeera Rice  Butter Chicken  and Tandoori Roti were all excellent. Jeera Rice stood out with its rich  authentic taste.,5,2026-05-13T17:11:19.614678
REV-000054,ORD-20260514-819865,CUST-10214,REST-DXB-001,Decent food but nothing special. Dal Makhani  Fish Curry  Gulab Jamun (2 pcs)  and Chicken 65 were okay. Fish Curry lacked the punch I expected.,3,2026-05-15T20:27:17.614678
REV-000059,ORD-20260521-708432,CUST-10173,REST-DXB-001,Outstanding experience! The Paneer Butter Masala  Fresh Lime Soda  Fish Curry  Tandoori Roti  and Butter Chicken exceeded all expectations. Fish Curry was the star of the meal. Will definitely order again!,5,2026-05-22T13:12:46.614678
REV-000055,ORD-20260516-526512,CUST-10254,REST-DXB-001,Terrible experience! Lamb Rogan Josh were all inedible. Lamb Rogan Josh was completely burnt. Waste of money!,1,2026-05-22T20:05:44.614678
REV-000056,ORD-20260518-720578,CUST-10203,REST-AUH-002,Not good. Chicken Seekh Kebab  Kulfi  Palak Paneer  and Butter Naan arrived late and cold. Kulfi had barely any flavor. Poor quality.,2,2026-05-22T21:41:31.614678
REV-000057,ORD-20260520-951497,CUST-10405,REST-SHJ-001,Wow! Just wow! Mango Lassi  Naan  and Paneer Tikka were all fantastic. Mango Lassi was particularly memorable. Can't wait to order again!,5,2026-05-25T14:08:36.614678
REV-000058,ORD-20260521-229687,CUST-10176,REST-DXB-001,Hands down the best Chole Bhature I've ever had! Chole Bhature were all prepared beautifully. Fresh and flavorful!,5,2026-05-26T12:08:08.614678
REV-000061,ORD-20260525-551692,CUST-10206,REST-AUH-002,Best Indian food in UAE! Lamb Rogan Josh  Sweet Lassi  and Palak Paneer were incredible. Lamb Rogan Josh had the perfect balance of spices. Five stars!,5,2026-05-26T15:18:27.614678
REV-000060,ORD-20260525-664996,CUST-10172,REST-AUH-002,Perfect in every way! Masala Chai  Samosa (2 pcs)  Chicken Tikka Masala  and Chicken Seekh Kebab were all excellent. Chicken Tikka Masala stood out with its rich  authentic taste.,5,2026-05-27T13:30:32.614678
REV-000062,ORD-20260528-815769,CUST-10033,REST-SHJ-001,Hands down the best Samosa (2 pcs) I've ever had! Masala Chai  Naan  Malai Kofta  Fish Curry  and Samosa (2 pcs) were all prepared beautifully. Fresh and flavorful!,5,2026-05-29T15:18:20.614678
REV-000063,ORD-20260528-560616,CUST-10189,REST-DXB-002,Wow! Just wow! Masala Chai were all fantastic. Masala Chai was particularly memorable. Can't wait to order again!,5,2026-06-03T20:11:31.614678
REV-000064,ORD-20260530-896845,CUST-10208,REST-DXB-001,Not bad  not great. Mango Lassi  Chicken Biryani  Naan  Fish Curry  and Vegetable Biryani were edible. Chicken Biryani needed more seasoning.,3,2026-06-06T17:21:18.614678
REV-000066,ORD-20260606-178038,CUST-10056,REST-AUH-002,Great food overall. Garlic Naan  Vegetable Biryani  Paneer Butter Masala  and Butter Naan were tasty  especially the Butter Naan. Would order again!,4,2026-06-07T18:24:07.614678
REV-000065,ORD-20260606-895952,CUST-10085,REST-SHJ-001,Pleasant meal! Butter Chicken arrived warm. Butter Chicken was tasty though not exceptional. Would order again.,4,2026-06-13T11:17:19.614678
REV-000067,ORD-20260620-815269,CUST-10196,REST-DXB-002,Unsatisfactory. Chicken Biryani and Masala Chai were not fresh. Chicken Biryani tasted reheated. Won't order again.,2,2026-06-24T18:15:41.614678
REV-000068,ORD-20260624-609258,CUST-10047,REST-DXB-001,Best Indian food in UAE! Vegetable Biryani  Naan  Sweet Lassi  Garlic Naan  and Chicken 65 were incredible. Sweet Lassi had the perfect balance of spices. Five stars!,5,2026-06-27T12:03:06.614678
